head_key	phrase	count	pages	proper	example
histori	roffensis historiae	3	3	False	Roffensis historiae
histori	suae historiae	7	7	False	suae historiae
historial	speculo historiali	3	3	False	speculo historiali
historiol	ecclesiae historiola	6	6	False	ecclesiae historiola
historiol	wintoniensis ecclesiae historiola	5	5	False	Wintoniensis ecclesiae historiola
hom	omnis homo	3	3	False	omnis homo
hom	potest homo	5	4	False	potest homo
homin	millia hominum	3	3	False	millia hominum
homin	omne hominum	4	4	False	omne hominum
homin	omnes homines	3	3	False	omnes homines
homin	posse esse hominem	5	4	False	Posse esse hominem
homin	posse hominem	6	6	False	posse hominem
honor	ecclesiam in honore	5	4	False	ecclesiam in honore
hors	hengisti et horsi	5	2	False	Hengisti et Horsi
hoveden	rogerus hovedenus	3	3	True	Rogerus Hovedenus
human	genus humanum	5	3	False	genus humanum
human	omne genus humanum	3	2	False	omne genus humanum
huntingdoniens	henricus huntingdoniensis	16	15	True	Henricus Huntingdoniensis
huntingdoniens	henrico huntingdoniensi	8	8	True	Henrico Huntingdoniensi
imperator	theodosii imperatoris	4	3	False	Theodosii imperatoris
imperfect	operis imperfecti	3	3	False	operis imperfecti
imperi	gallorum imperio	3	3	False	Gallorum imperio
imperi	orientalis imperii	3	3	False	Orientalis imperii
imperi	romanorum imperio	3	3	False	Romanorum imperio
imperi	romani imperii	3	3	False	Romani imperii
imperi	utrius que imperii	3	3	False	utrius que imperii
in	rex ina	3	2	False	rex Ina
incarnation	anno ab incarnatione	17	15	False	anno ab incarnatione
